# accessed: February 2018
Species_ID	Species_name_compact	Publication_count
637910	Citrobacter rodentium	431
637911	Actinobacillus minor NM305	3
365046	Ramlibacter tataouinensis	10
365044	Polaromonas naphthalenivorans	16
272559	Bacteroides fragilis NCTC9343	15
272558	Bacillus halodurans	251
5518	Gibberella zeae	250
399739	Pseudomonas mendocina ymp	7
229533	Gibberella zeae PH1	0
30611	Otolemur garnettii	46
263358	Verrucosispora maris	6
245018	butyrate-producing bacterium SSC2	0
266264	Cupriavidus metallidurans	159
266265	Burkholderia xenovorans	134
245014	butyrate-producing bacterium SS34	0
360104	Campylobacter concisus	160
360105	Campylobacter curvus	31
360107	Campylobacter hominis	46
876142	Encephalitozoon intestinalis	319
395963	Beijerinckia indica	16
402626	Ralstonia pickettii	75
395961	Cyanothece sp. PCC7425	2
395965	Methylocella silvestris	18
698964	Corynebacterium diphtheriae	2405
398511	Bacillus pseudofirmus	68
398513	Bifidobacterium bifidum	40
446462	Actinosynnema mirum	14
511680	Butyrivibrio crossotus	6
1064592	Naumovozyma castellii	8
446466	Cellulomonas flavigena	60
446465	Brachybacterium faecium	11
446468	Nocardiopsis dassonvillei	45
446469	Sanguibacter keddieii	5
267671	Leptospira interrogans Copenhageni	241
712938	Lactobacillus fermentum	306
907965	Encephalitozoon hellem	204
590409	Dickeya dadantii Ech586	1
456320	Methanococcus voltae	159
762051	Leuconostoc kimchii	14
187272	Alkalilimnicola ehrlichii	9
666510	Acidilobus saccharovorans	6
644223	Komagataella pastoris	75
647113	Methanothermococcus okinawensis	6
314292	Photobacterium angustum	14
644548	Gordonia neofelifaecis	7
577650	Desulfobulbus propionicus	29
263820	Picrophilus torridus	37
679937	Bacteroides coprosuis	4
31964	Clavibacter michiganensis sepedonicus	56
663952	Streptococcus dysgalactiae	757
304371	Methanocella paludicola	8
504472	Spirosoma linguale	21
858619	Corynebacterium variabile	25
220664	Pseudomonas fluorescens Pf5	5
220668	Lactobacillus plantarum	1889
314345	Mariprofundus ferrooxydans	21
101510	Rhodococcus jostii	134
396595	Thioalkalivibrio sp. K90mix	3
626939	Phascolarctobacterium succinatutens	1
349521	Hahella chejuensis	35
349520	Paenibacillus polymyxa E681	19
720554	Clostridium clariflavum	19
880724	Methanotorris igneus	2
386043	Listeria welshimeri	228
742740	Clostridium symbiosum	17
749222	Nitratifractor salsuginis	4
990316	Methanosaeta concilii	81
565034	Brachyspira hyodysenteriae	226
411468	Clostridium scindens	34
411469	Eubacterium hallii	33
411462	Dorea longicatena	8
411463	Eubacterium ventriosum	9
411464	Desulfovibrio piger	28
411465	Parvimonas micra	196
6183	Schistosoma mansoni	9526
260799	Bacillus anthracis Sterne	422
632772	Rhodococcus opacus	211
9601	Pongo abelii	71
190304	Fusobacterium nucleatum nucleatum	2567
9606	Homo sapiens	16887538
760568	Desulfotomaculum kuznetsovii	11
297246	Legionella pneumophila Paris	7
7237	Drosophila pseudoobscura	812
600809	Blattabacterium sp. BPLAN	4
592027	Clostridium botulinum D 1873	4
592028	Dialister invisus	33
936155	Helicobacter felis	111
856793	Micavibrio aeruginosavorus	21
261317	Buchnera aphidicola Ct	7
1114970	Pseudomonas fluorescens F113	60
6239	Caenorhabditis elegans	19285
6238	Caenorhabditis briggsae	449
390874	Thermotoga petrophila	34
211586	Shewanella oneidensis	999
272942	Rhodobacter capsulatus	1060
272943	Rhodobacter sphaeroides 241	7
565575	Ureaplasma urealyticum	955
272947	Rickettsia prowazekii	829
37692	Phytoplasma mali	1
347834	Rhizobium etli CFN42	60
290340	Arthrobacter aurescens	83
945712	Corynebacterium ulcerans	208
243159	Acidithiobacillus ferrooxidans ATCC23270	6
682634	Serratia odorifera 4Rx13	4
362663	Escherichia coli 536	335
184922	Giardia lamblia	2474
412133	Trichomonas vaginalis G3	0
232348	Synechococcus sp. CB0101	1
315750	Bacillus pumilus	43
326297	Shewanella amazonensis	23
384616	Pyrobaculum islandicum	41
2850	Phaeodactylum tricornutum	735
326298	Sulfurimonas denitrificans	22
5180	Sclerotinia sclerotiorum	881
487797	Flavobacteria bacterium MS0243C	393
487796	Flavobacteria bacterium MS0242A	393
10090	Mus musculus	1399668
398720	Leeuwenhoekiella blandensis	2
155864	Escherichia coli O157H7	12
208964	Pseudomonas aeruginosa	38172
388919	Streptococcus sanguinis SK36	18
529507	Proteus mirabilis	3330
195103	Clostridium perfringens ATCC13124	9
490899	Desulfurococcus kamchatkensis	6
637905	Shewanella violacea	43
543734	Lactobacillus casei	4753
882378	Burkholderia rhizoxinica	23
103690	Nostoc sp. PCC7120	40
656519	Halanaerobium hydrogeniformans	6
444612	Rickettsia endosymbiont	143
760011	Spirochaeta coccoides	2
87626	Pseudoalteromonas tunicata	6
643648	Syntrophothermus lipocalidus	7
743720	Pseudomonas fulva	33
30608	Microcebus murinus	292
640512	Burkholderia sp. CCGE1003	785
640513	Enterobacter asburiae	92
640510	Burkholderia sp. CCGE1001	785
640511	Burkholderia sp. CCGE1002	1
228908	Nanoarchaeum equitans	77
233412	Haemophilus ducreyi	642
641491	Desulfovibrio desulfuricans ND132	16
465515	Micrococcus luteus	925
662755	Corynebacterium resistens	8
741091	Rahnella sp. Y9602	3
556268	Oxalobacter formigenes HOxBLS	183
556269	Oxalobacter formigenes OXCC13	4
556267	Helicobacter winghamensis	10
59374	Fibrobacter succinogenes	365
556261	Clostridium sp. D5	0
446471	Xylanimonas cellulosilytica	5
446470	Stackebrandtia nassauensis	9
525146	Desulfovibrio desulfuricans ATCC27774	3
35128	Thalassiosira pseudonana	338
562981	Gemella haemolysans M341	0
979556	Microbacterium testaceum	25
313606	Microscilla marina	5
748727	Clostridium ljungdahlii	64
439292	Bacillus selenitireducens	12
258594	Rhodopseudomonas palustris CGA009	36
866774	Atopobium vaginae PB189T14	124
866775	Aerococcus urinae	98
866776	Veillonella atypica	48
873533	Prevotella oralis	168
866771	Prevotella disiens	31
43179	Ictidomys tridecemlineatus	103
861208	Agrobacterium sp. H133	0
880447	Mycoplasma leachii	7
504728	Meiothermus ruber	39
420662	Methylibium petroleiphilum	37
118168	Microcoleus chthonoplastes	63
679926	Methanoplanus petrolearius	5
273057	Sulfolobus solfataricus	749
868864	Desulfurobacterium thermolithotrophum	7
5811	Toxoplasma gondii	12356
908338	Peptoniphilus harei	20
887898	Lautropia mirabilis	8
694429	Pyrolobus fumarii	8
32051	Synechococcus sp. WH7803	35
515849	Podospora anserina	236
323097	Nitrobacter hamburgensis	18
575593	Lachnospiraceae oral	8
333146	Ferroplasma acidarmanus	23
324057	Paenibacillus sp. JDR2	1
323098	Nitrobacter winogradskyi	98
545693	Bacillus megaterium	2780
56780	Syntrophus aciditrophicus	24
1097668	Burkholderia sp. YI23	4
545695	Treponema azotonutricium	2
545694	Treponema primitia	14
396588	Thioalkalivibrio sulfidophilus	2
340099	Thermoanaerobacter pseudethanolicus	20
573370	Desulfovibrio magneticus	15
317655	Sphingopyxis alaskensis	34
376686	Flavobacterium johnsoniae	99
627192	Sphingobium sp. SYK6	2
579138	Zymomonas mobilis pomaceae	4
500640	Citrobacter youngae	40
579137	Methanocaldococcus vulcanius	122
500485	Penicillium chrysogenum	1231
525898	Sulfurospirillum deleyianum	18
411471	Subdoligranulum variabile	6
411474	Coprococcus eutactus	7
52598	Sulfitobacter sp. EE36	51
326424	Frankia alni	29
326427	Chloroflexus aggregans	7
326426	Bifidobacterium breve	22
326423	Bacillus amyloliquefaciens	109
633147	Olsenella uli	26
339670	Burkholderia ambifaria	79
633149	Brevundimonas subvibrioides	7
633148	Thermosphaera aggregans	8
7955	Danio rerio	23531
7222	Drosophila grimshawi	46
7227	Drosophila melanogaster	41416
208596	Carnobacterium sp. 174	2
403833	Petrotoga mobilis	10
592031	Eubacterium saphenum	20
557599	Mycobacterium kansasii	433
218497	Chlamydophila abortus	12
944547	Arcobacter sp. L	8
377629	Teredinibacter turnerae	21
1142511	Wigglesworthia glossinidia Gm	13
163164	Wolbachia sp. Dm	0
743718	Isoptericola variabilis	10
265311	Mesoplasma florum	18
190192	Methanopyrus kandleri	121
122586	Neisseria meningitidis	8868
467200	Streptomyces griseoflavus	35
888048	Streptococcus parasanguinis	97
888049	Streptococcus sanguinis ATCC49296	2991
367336	Rhodobacterales bacterium HTCC2255	1
78245	Xanthobacter autotrophicus	100
221988	Mannheimia succiniciproducens	43
521460	Caldicellulosiruptor bescii	73
435832	Neisseria mucosa C102	0
768706	Desulfosporosinus orientis	15
380703	Aeromonas hydrophila	1653
316057	Rhodopseudomonas palustris BisB5	2
316056	Rhodopseudomonas palustris BisB18	3
316055	Rhodopseudomonas palustris BisA53	4
709032	Sulfuricurvum kujiense	6
300852	Thermus thermophilus HB8	562
316058	Rhodopseudomonas palustris HaA2	10
216591	Burkholderia cenocepacia	229
216595	Pseudomonas fluorescens SBW25	133
216594	Mycobacterium marinum	615
216596	Rhizobium leguminosarum viciae	408
272951	Rickettsia sibirica	161
314565	Xanthomonas campestris 8004	37
182082	Chlamydophila pneumoniae TW183	15
226186	Bacteroides thetaiotaomicron	24
765698	Mesorhizobium ciceri	77
648996	Thermovibrio ammonificans	9
357809	Clostridium phytofermentans	40
357808	Roseiflexus sp. RS1	1
357804	Psychromonas ingrahamii	10
543728	Variovorax paradoxus S110	3
553220	Campylobacter gracilis	84
675635	Pseudonocardia dioxanivorans	17
521098	Alicyclobacillus acidocaldarius DSM446	156
710685	Mycobacterium rhodesiae	19
521097	Capnocytophaga ochracea DSM7271	193
561229	Dickeya zeae	25
521095	Atopobium parvulum	10
660470	Mesotoga prima	5
1006551	Klebsiella oxytoca	452
228399	Actinobacillus pleuropneumoniae 1	760
585202	Streptococcus mitis SK321	1684
696125	Bartonella clarridgeiae	176
262316	Mycobacterium avium	4755
496833	Mycoplasma fermentans	257
5661	Leishmania donovani	4165
5664	Leishmania major	2736
429009	Ammonifex degensii	4
573413	Spirochaeta smaragdinae	6
266835	Mesorhizobium loti	377
266834	Sinorhizobium meliloti	1586
406327	Methanococcus vannielii	118
760142	Hippea maritima	8
349102	Rhodobacter sphaeroides ATCC17025	3925
1028307	Enterobacter aerogenes	1008
491916	Rhizobium etli CIAT652	4
491915	Anoxybacillus flavithermus	60
445932	Elusimicrobium minutum	3
324831	Lactobacillus gasseri	17
573569	Francisella sp. TX077308	3489
1033810	Haloplasma contractile	3
1042877	Thermococcus sp. 4557	2
907239	Helicobacter pylori SouthAfrica7	40918
702113	Novosphingobium sp. PP1Y	6
381764	Fervidobacterium nodosum	17
933801	Acidianus hospitalis	11
643562	Desulfovibrio aespoeensis	9
667129	Serratia odorifera DSM4582	52
675815	Vibrio sp. RC586	1
675814	Vibrio coralliilyticus	82
279714	Pseudogulbenkiania ferrooxidans	2
675812	Grimontia hollisae	24
449447	Microcystis aeruginosa	1451
273063	Sulfolobus tokodaii	2145
273068	Thermoanaerobacter tengcongensis	146
580327	Thermoanaerobact. thermosaccharolyticum	106
391626	Octadecabacter antarcticus 307	2
903503	Moranella endobia	8
266940	Kineococcus radiotolerans	21
100226	Streptomyces coelicolor	1119
392499	Sphingomonas wittichii	54
1004836	Gluconacetobacter sp. SXCC1	54
32049	Synechococcus sp. PCC7002	36
498211	Cellvibrio japonicus	50
498217	Edwardsiella tarda	498
377431	Chlorobium ferrooxidans	3
859654	Blochmannia vafer	2
292459	Symbiobacterium thermophilum	42
240176	Coprinopsis cinerea	161
880072	Desulfobacca acetoxidans	7
880070	Cyclobacterium marinum	6
578458	Schizophyllum commune	443
69014	Thermococcus kodakarensis	168
578455	Thielavia terrestris	29
325240	Shewanella baltica	55
742766	Dysgonomonas gadei	7
742767	Dysgonomonas mossii	5
4577	Zea mays	27146
321955	Brevibacterium linens	156
933115	Planococcus donghaensis	8
320771	Pedosphaera parvula	1
357244	Orientia tsutsugamushi	1055
562982	Gemella morbillorum	170
562983	Gemella sanguinis	21
908337	Eremococcus coleocola	1
762376	Achromobacter xylosoxidans A8	6
9785	Loxodonta africana	482
406817	Xenorhabdus nematophila	294
5061	Aspergillus niger	5103
62928	Azoarcus sp. BH72	36
5062	Aspergillus oryzae	1669
406818	Xenorhabdus bovienii	56
94122	Shewanella sp. ANA3	0
546274	Eikenella corrodens	648
944559	Paenibacillus sp. HGF7	1986
743965	Mycoplasma putrefaciens	15477
759914	Brachyspira pilosicoli	267
391896	Rickettsia bellii	118
795797	Halalkalicoccus jeotgali	5
349106	Psychrobacter sp. PRwf1	127
380394	Acidithiobacillus ferrooxidans ATCC53993	620
203119	Clostridium thermocellum	446
338963	Pelobacter carbinolicus	20
888052	Actinomyces sp. 180	32
338966	Pelobacter propionicus	8
888057	Aggregatibacter segnis	3
888056	Actinomyces sp. 448	10
888059	Capnocytophaga sp. 338	0
338969	Rhodoferax ferrireducens	19
926562	Owenweeksia hongkongensis	7
419947	Mycobacterium tuberculosis H37Ra	746
504832	Oligotropha carboxidovorans	43
1029718	Arthromitus sp. SFBmoJap	5
85643	Thauera sp. MZ1T	2
188937	Methanosarcina acetivorans	210
470145	Bacteroides coprocola	6
470146	Coprococcus comes	12
40041	Streptococcus equi	551
10228	Trichoplax adhaerens	84
517418	Chloroherpeton thalassium	6
379066	Gemmatimonas aurantiaca	10
517417	Chlorobaculum parvum	4
7029	Acyrthosiphon pisum	696
367928	Bifidobacterium adolescentis	7
931626	Acetobacterium woodii	110
553178	Capnocytophaga gingivalis	325
694427	Paludibacter propionicigenes	9
360911	Exiguobacterium sp. AT1b	3
360910	Bordetella avium	28
553171	Prevotella bivia	138
353154	Theileria annulata	365
553175	Porphyromonas endodontalis	84
553174	Prevotella melaninogenica	429
553177	Capnocytophaga sputigena	149
390236	Borrelia afzelii	6808
637389	Acidithiobacillus caldus	105
1082931	Pelagibacterium halotolerans	8
36630	Neosartorya fischeri	125
434131	Neorickettsia risticii	20
537013	Clostridium methylpentosum	5
1035189	Streptococcus infantis SK970	94
1035188	Haemophilus pittmaniae	4
561231	Pectobacterium wasabiae	28
561230	Pectobacterium carotovorum	575
553218	Campylobacter rectus	123
553219	Campylobacter showae	33
553217	Enhydrobacter aerosaccus	1
710696	Intrasporangium calvum	7
169963	Listeria monocytogenes EGDe	86
658172	Liberibacter solanacearum	85
7159	Aedes aegypti	8483
640081	Dechlorosoma suillum	11
234831	Pseudoalteromonas sp. SM9913	20
583355	Coraliomargarita akajimensis	3
583356	Ignisphaera aggregans	4
913848	Lactobacillus coryniformis	80
216432	Croceibacter atlanticus	7
1031711	Ralstonia solanacearum Po82	1
288705	Renibacterium salmoninarum	162
450851	Phenylobacterium zucineum	7
9103	Meleagris gallopavo	481
156889	Magnetococcus marinus	12
284593	Candida glabrata	1309
589924	Ferroglobus placidus	12
59196	Rickettsiella grylli	24
443218	Amycolicicoccus subflavus	7
561180	Bifidobacterium gallicum	8
529709	Pyrococcus yayanosii	7
394221	Maricaulis maris	8
4081	Solanum lycopersicum	10259
390235	Pseudomonas putida W619	9
353153	Trypanosoma cruzi	10781
353152	Cryptosporidium parvum	2545
486041	Laccaria bicolor	154
693661	Archaeoglobus veneficus	1
983548	Krokinobacter sp. 4H375	3
1033802	Salinisphaera shabanensis	7
1033806	Halorhabdus tiamatea	5
983545	Glaciecola sp. 4H37YE5	29
983544	Lacinutrix sp. 5H374	14
9813	Procavia capensis	92
526218	Sebaldella termitidis	5
887324	Actinobacillus ureae	43
324925	Pelodictyon phaeoclathratiforme	3
521045	Kosmotoga olearia	9
